,channel,subs,title,views,date,like,hate,review,urls,hashtag1,hashtag2,hashtag3
1233,1분 공방, 10.1,차범근의 아들, 172907,2020. 1. 6, 3270, 23,1097,https://www.youtube.com/watch?v=SwvJVAXaOg4,,,
1234,1분 공방, 10.1,전임자의 그늘, 282322,2019. 8. 17, 4207, 63,1041,https://www.youtube.com/watch?v=aVSv7YJqPqs,,,
1235,1분 공방, 10.1,티키타카의 마지막 퍼즐 조각, 453969,2019. 7. 10, 3979, 60,881,https://www.youtube.com/watch?v=3pC_tVo0rhA,,,
1236,1분 공방, 10.1,636일, 223150,2019. 5. 27, 3257, 24,432,https://www.youtube.com/watch?v=vR_9BvxkHe0,,,
1237,1분 공방, 10.1,영웅이 되어야만 했던 소년, 259113,2019. 5. 9, 3041, 42,532,https://www.youtube.com/watch?v=WMlGJAX-9tI,,,
1238,1분 공방, 10.1,위대한 보스, 154498,2019. 4. 16, 1931, 20,376,https://www.youtube.com/watch?v=00Au5y_tuq0,,,
1239,1분 공방, 10.1,죽음도 갈라놓지 못한 우정, 258130,2019. 3. 27, 3770, 33,475,https://www.youtube.com/watch?v=6T-IhedKBbA,,,
1240,1분 공방, 10.1,다시 봄이 오고 있습니다., 77882,2019. 3. 27, 876, 5,185,https://www.youtube.com/watch?v=sH_ryHhdM3A,,,
1241,1분 공방, 10.1,축구사에 길이 남을 역전극, 435523,2019. 3. 5, 4518, 51,1152,https://www.youtube.com/watch?v=hB8yuFAefLU,,,
1242,1분 공방, 10.1,독일인이 사랑한 독일인, 366967,2019. 2. 19, 3818, 35,1113,https://www.youtube.com/watch?v=AlC98vwGI5M,,,
1243,1분 공방, 10.1,그의 등에 새겨진 주홍글씨, 117844,2019. 2. 7, 1466, 25,507,https://www.youtube.com/watch?v=AiHiO5_ld24,,,
1244,1분 공방, 10.1,비슷한 플레이는 있지만 비슷한 수준은 없다, 928714,2019. 1. 26, 5874, 121,1198,https://www.youtube.com/watch?v=VJr5xEE5VnI,,,
1245,1분 공방, 10.1,한 패배자의 눈물, 331773,2019. 1. 21, 4060, 25,,https://www.youtube.com/watch?v=Tywtkg7p2LU,,,
1246,1분 공방, 10.1,지쳐 있던 신을 깨운 1분, 663064,2019. 1. 15, 6834, 113,1519,https://www.youtube.com/watch?v=PBZMyr8TsSM,,,
1247,1분 공방, 10.1,목수가 됐을지도 모르는 레전드, 234631,2018. 12. 28, 3047, 26,690,https://www.youtube.com/watch?v=sRdbjNc_z7M,,,
1248,1분 공방, 10.1,축구를 잘하는 것이 불가능한 국가, 728393,2018. 12. 23, 5648, 132,1018,https://www.youtube.com/watch?v=A8oG4mDSg40,,,
1249,1분 공방, 10.1,승리보다 소중한 가치, 164916,2018. 12. 19, 2088, 12,272,https://www.youtube.com/watch?v=zmhExKBSzio,,,
1250,1분 공방, 10.1,여전히 대체자를 찾지 못한 남자, 1129645,2018. 12. 14, 7178, 141,1835,https://www.youtube.com/watch?v=XU8psFUf97I,,,
1251,1분 공방, 10.1,"""나는 노멀 원입니다""", 312214,2018. 12. 8, 3192, 29,484,https://www.youtube.com/watch?v=A4Uf99Dg0M4,,,
1252,1분 공방, 10.1,그라운드 위의 모차르트, 600712,2018. 11. 28, 3726, 78,713,https://www.youtube.com/watch?v=6PbfA4z4Ego,,,
1255,축구는장비빨, 10.1,8월 대박 신상 축구화 나눔이벤트 받아가세요!!, 18000,2020. 7. 31, 2629, 10,2318,https://www.youtube.com/watch?v=MKv7kR7fhxs,,,
184,Fitology, 9.14,먹방BJ들이 말도 안되게 많이 먹을 수 있는 인체생리학적 이유, 14135,16시간 전 최초 공개, 499, 10,137,https://www.youtube.com/watch?v=-tm6ClJQPX8,먹방 ,과식 ,토
185,Fitology, 9.14,콜레스테롤 오해를 풀고 제대로 알아보자!, 3830,2020. 8. 4, 201, 1,100,https://www.youtube.com/watch?v=wLn7v0q73JE,,,
186,Fitology, 9.14,[건단요리]맛있고 부드러운 단백질 찾아?여기 해결해드림. 초간단 스크램블, 3206,2020. 8. 1, 139, 2,45,https://www.youtube.com/watch?v=h7dS5XPQVMw,,,
187,Fitology, 9.14,아는 것이 힘이다! 무지외반증 필수지식, 2045,2020. 7. 28, 110, 없음,22,https://www.youtube.com/watch?v=4UP_tPz58lg,무지외반증 ,교정하기 ,고급강의
188,Fitology, 9.14,[태근이형] 무지외반증 교정 테이핑 + 교정운동, 2041,2020. 7. 27, 120, 없음,34,https://www.youtube.com/watch?v=nDlOlYslhZ8,무지외반증 ,엄지발가락통증 ,교정방법
189,Fitology, 9.14,애증의 닭가슴살&오트밀 2분만에 만드는 라면보다 맛있는 닭죽!, 6165,최초 공개: 2020. 7. 25, 227, 3,63,https://www.youtube.com/watch?v=YneKA_4KJGU,,,
190,Fitology, 9.14,스트레스를 받으면 살이찌는이유, 6268,최초 공개: 2020. 7. 21, 215, 5,28,https://www.youtube.com/watch?v=efneXlmfqTg,,,
191,Fitology, 9.14,[건단요리] 샐러드 오래 보관하는 법, 5702,2020. 7. 17, 283, 2,72,https://www.youtube.com/watch?v=n94FBNPS9to,샐러드 ,소분법 ,정리꿀팁
192,Fitology, 9.14,과학이다! 운동 후 근손실 방지 샤워법, 29404,최초 공개: 2020. 7. 14, 691, 12,276,https://www.youtube.com/watch?v=AtmgiEo9Xzg,,,
193,Fitology, 9.14,다이어트는 습관 새로운 마음으로 이끄는 피톨로지 다이어트 동기부여, 7300,최초 공개: 2020. 7. 11, 199, 43,109,https://www.youtube.com/watch?v=KKYr01FvovU,,,
194,Fitology, 9.14,왜 끝없이 과식폭식을 하게 되는 것일까, 9242,최초 공개: 2020. 7. 10, 328, 6,88,https://www.youtube.com/watch?v=YYQLvKQnKmQ,다이어트 ,쾌감,
195,Fitology, 9.14,근육 발달과 스테로이드 남성호르몬 상승(feat.DHEA), 19175,2020. 7. 9, 401, 10,97,https://www.youtube.com/watch?v=wZFP1_PajSo,,,
196,Fitology, 9.14,과도한 다이어트를 부추기는 바디프로필피트니스계의 어두운 그림자, 25392,최초 공개: 2020. 7. 7, 631, 16,253,https://www.youtube.com/watch?v=g2q1V2gwkeE,피트니스모델 ,바디프로필 ,위험성
197,Fitology, 9.14,건강한 사람과 몸짱의 최소유지 체지방량은? +체지방의 역할, 48220,최초 공개: 2020. 7. 7, 874, 14,154,https://www.youtube.com/watch?v=Pn9h0ifhQdo,체지방감량 ,근손실 ,성기능악화
198,Fitology, 9.14,우수의 린매스업 총정리, 47482,최초 공개: 2020. 7. 6, 1149, 15,285,https://www.youtube.com/watch?v=gTofe6nrSwA,,,
199,Fitology, 9.14,다이어트약도 스포츠영양사가 리뷰하면 다르다!스템마맥스, 14221,최초 공개: 2020. 6. 30, 441, 8,244,https://www.youtube.com/watch?v=iqLGUafxmas,다이어트약 ,스템마맥스 ,돌외잎
200,Fitology, 9.14,유명한 BCAA 제품들 모아서 살지 말지 총정리 해드림, 24448,2020. 6. 25, 475, 9,159,https://www.youtube.com/watch?v=Ml1tUJl2Ly8,번잇 ,익스텐드 ,뉴트리코스트
201,Fitology, 9.14,BCAA가 근손실 유발? 알고 먹자 BCAA, 27092,2020. 6. 24, 626, 18,137,https://www.youtube.com/watch?v=EJuLFq9YVqE,BCAA ,근손실 ,말도안돼
202,Fitology, 9.14,피톨로지 일상 건강 요리 첫번째 시간! 닭가슴살 굽기, 6000,2020. 6. 23, 212, 2,58,https://www.youtube.com/watch?v=XUwaG-7embk,,,
203,Fitology, 9.14,[피트니스x성의학] 비아그라는 안 주시고 달리기를 하라니요??!!! #3, 5775,2020. 6. 18, 171, 없음,60,https://www.youtube.com/watch?v=0VzM4oYvlCo,,,
1405,이슈텔러 issueTeller, 85.2,한의학은 코로나19 예방에 어떤 도움이 될 수 있을까?, 11823,2020. 8. 6, 839, 28,216,https://www.youtube.com/watch?v=cYRI3GG6xLU,,,
1406,이슈텔러 issueTeller, 85.2,아이스크림은 유통기한이 없다는데... 정말 안 상할까??, 94539,2020. 8. 1, 2293, 27,421,https://www.youtube.com/watch?v=w-2wxFo2tUI,,,
1407,이슈텔러 issueTeller, 85.2,외국인들이 너무 부러워하는 한국인의 신체적 특징 3가지, 433759,2020. 7. 25, 7324, 163,2033,https://www.youtube.com/watch?v=SL_mRiEL_jI,,,
1408,이슈텔러 issueTeller, 85.2,대부분 사람들이 잘 모르는 음식에 대한 충격적인 사실 10가지, 327710,2020. 7. 21, 6452, 99,1256,https://www.youtube.com/watch?v=yT7KMJ6lQ8o,,,
1409,이슈텔러 issueTeller, 85.2,이래서.. 집에 개미가 살면 바퀴벌레를 볼 수 없다고 하는구나..ㄷㄷ, 149957,2020. 7. 18, 3139, 49,1149,https://www.youtube.com/watch?v=MO_uALYiSNM,,,
1410,이슈텔러 issueTeller, 85.2,정말 상상도 못한 1위.. 편의점에서 지난 1년 동안 가장 많이 팔린 제품 TOP10, 293808,2020. 7. 14, 3705, 79,982,https://www.youtube.com/watch?v=AAMWbxXbpxY,,,
1411,이슈텔러 issueTeller, 85.2,우리나라 안전한거 맞음?? 얼마전 발표된 전 세계 191개 국가 중 '가장 위험한 나라' 순위!!, 227556,2020. 7. 11, 5297, 88,1430,https://www.youtube.com/watch?v=cdhGD5aM3t4,,,
