,channel,subs,title,views,date,like,hate,review,urls,hashtag1,hashtag2,hashtag3
572,Jella젤라, 80.7,🔱 인어공주 이야기 🔱 ( The Little Mermaid 🧜🏽‍♀️) /jella 젤라, 64222,2020. 8. 3, 2846, 35,164,https://www.youtube.com/watch?v=N7I5vxcDlj4,,,
573,Jella젤라, 80.7,(with sub) 로아 해피데이✨ 어린이날 어버이날 VLOG (휴일 출근 동생이랑 네일샵 속눈썹펌 ) /jella 젤라, 47482,2020. 8. 1, 1312, 20,86,https://www.youtube.com/watch?v=gXTG0vsm7GQ,,,
574,Jella젤라, 80.7,(ENG) 화이트빔 뿜뿜 메이크업 #korean girl 💘 #Pink fantasy makeup /jella 젤라, 56402,2020. 7. 31, 2281, 36,131,https://www.youtube.com/watch?v=KiWfhuvkl9E,,,
575,Jella젤라, 80.7,🖤💓BLACKPINK - 'How You Like That' COVER / jella 젤라💓🖤, 60357,2020. 7. 19, 2593, 196,157,https://www.youtube.com/watch?v=b3-unZOAeWM,,,
576,Jella젤라, 80.7,(ENG) 젤라 또 타투 VLOG /선 타투 후 뚜맞 / jella 젤라, 71184,2020. 6. 28, 1734, 50,111,https://www.youtube.com/watch?v=kQPMoaBMbsc,,,
577,Jella젤라, 80.7,(With sub🇻🇳🇲🇨🇺🇸🇯🇵🇪🇸🇹🇭)💎도화살 팍팍 블루홀 메이크업 젤라또 다 꼬셔볼까?😘 /jella 젤라, 122646,2020. 6. 26, 3283, 132,349,https://www.youtube.com/watch?v=05oY1au8GDk,,,
578,Jella젤라, 80.7,(ENG) 습관 다이어트 - 굶지 말고 살 빠지는 습관! 현실적인 다이어트 방법! / jella 젤라, 348134,2020. 6. 17, 6146, 133,347,https://www.youtube.com/watch?v=BaRXzfYSYBs,,,
579,Jella젤라, 80.7,(ENG) 다 잘하고 싶은 30대 애기엄마 젤새로이의 하루 VLOG (곱창 10인분 x 존맛ㅠㅠ! 올리브영 10만 원 플렉스 시(원한)찌(찌) 만들기 /jella젤라, 97226,2020. 6. 14, 1559, 26,82,https://www.youtube.com/watch?v=6Zuxp6uc5xc,,,
580,Jella젤라, 80.7,(ENG) 💇🏻‍♀️ 인간 진주 (전 남친 현 남편이 또 반한 숏컷) 메이크업 / Short hair makeup💇🏻‍♀️, 358670,2020. 6. 12, 7380, 133,436,https://www.youtube.com/watch?v=De7JItqOH34,cc708 ,Espresso ,a28
581,Jella젤라, 80.7,2000년대 댄스메들리 라떼는..추억 소환 ✨ 2000 KPOP HIT SONG / jella 젤라, 143273,2020. 5. 29, 5998, 139,581,https://www.youtube.com/watch?v=_QRXZR5MLO4,이효리 ,Leehyolee ,텐미닛
582,Jella젤라, 80.7,(ENG) 메이크업 아티스트에게 배우는 메이크업 베이스 완벽 정복! (메이크업 전 기초 스킨케어 부터 쿠션으로 광나는 베이스 하는 꿀팁!) 🔥젤라또 사연 고민 솔루션!, 60200,2020. 5. 21, 1441, 26,137,https://www.youtube.com/watch?v=y0HzsePX4po,,,
583,Jella젤라, 80.7,🥑 아보카도 메이크업.. 이라고 하면 될까? #korean girl ✨ #avocado makeup🥑 /jella 젤라, 328404,2020. 5. 19, 12696, 151,684,https://www.youtube.com/watch?v=se42vXHrMoM,,,
584,Jella젤라, 80.7,(ENG) 청담동 선생님께 꿀템으로 #ITZY #예지님 .. 메이크업을.. 받아보면.. (*마스크에 안 묻어나!!!!) /jella 젤라, 106722,2020. 5. 17, 2489, 41,132,https://www.youtube.com/watch?v=lI2AXO7fysM,,,
585,Jella젤라, 80.7,(ENG) #전남친 이랑 꾸꾸꾸 메이크업 하고 #두근두근 데이트 💗 마스크프루프 메이크업 (!드디어! 찾은 인생 선세럼), 122777,2020. 4. 30, 2081, 37,192,https://www.youtube.com/watch?v=l5S1hzw0l6Q,,,
586,Jella젤라, 80.7,(ENG) 빈티지 #블랙체리🍒 메이크업 Cherry MakeUp (24-25호 모여라!) 꿀파데브러쉬 눈 뒷트임 입술 볼륨 뽝! / jella 젤라, 356261,2020. 4. 26, 15583, 153,985,https://www.youtube.com/watch?v=9jKz76yQbpg,,,
587,Jella젤라, 80.7,(ENG CC) 엄마와 딸 그리고 엄마.. 일 땡땡이치고 하루 종일 로아랑 놀기!! (ft. 로아랑 노는 게 제일 좋은 젤로로) *시카마켓 공지! 오픈!, 185484,2020. 4. 24, 3692, 71,353,https://www.youtube.com/watch?v=9QirsT54NGo,,,
588,Jella젤라, 80.7,(ENG) 젤(라)또 탈(색) 탈색 머리 블랙으로 5번 덮고 탈색하면? 기우쌤은 또 해냅니다. (*탈색본드*) /jella젤라, 286083,2020. 4. 19, 3026, 73,112,https://www.youtube.com/watch?v=G5jODVC0g3k,,,
589,Jella젤라, 80.7,(ENG) 같이 빵댕이 흔들자! #살-2kg 가능!! #ITZY -#WANNABE /있지 - 워너비/ 배우기! 거울모드, 115223,최초 공개: 2020. 4. 8, 2239, 31,199,https://www.youtube.com/watch?v=gV4hS5L-17g,,,
590,Jella젤라, 80.7,(eng) 탈모 가르마 고속도로 힘없고 얇은 머리카락 볼륨 없는 정수리 비듬 빗자루 머릿결!! 모두 모여라!! 삶의질 상승 (마켓공지!), 68692,2020. 4. 6, 1499, 29,275,https://www.youtube.com/watch?v=5ASH_YRiuzU,,,
591,Jella젤라, 80.7,ITZY(있지)-WANNABBE(워너비) COVER (ft.로아있지) /jella 젤라, 223323,2020. 4. 2, 7316, 330,455,https://www.youtube.com/watch?v=yvQ7v9Gj_t4,,,
592,areumsongee아름송이, 80.3,(ENG/JPN)인생사진 남기는 교복 메이크업👩‍🎓증명사진졸업사진까지 프리패스 해버리기!(+형권이 아이돌 오디션보기), 118934,2020. 7. 31, 3679, 50,153,https://www.youtube.com/watch?v=3m56lQr3MsI,,,
593,areumsongee아름송이, 80.3,(ENG/JPN)피부 역대 뒤집어진날 수다떨면서 나이트케어+MBTI 테스트!📝 관심이 싫은 관종유형...🤦‍♀, 61819,2020. 7. 24, 1549, 20,107,https://www.youtube.com/watch?v=yYPbHWG5eqA,베이커세븐 ,매직버블에센스팩 ,magicbubbleessencepack
