,channel,subs,title,views,date,like,hate,review,urls,hashtag1,hashtag2,hashtag3
1174,MariAndFriends, 215,화장실 하루살기! 단 30초 안에 고른 물건으로! 이게 가능? 댓글 요청 방탈출 생존 게임 ㅋㅋㅋ 말벤져스 가족 일상 국민이 24시간 챌린지 | 말이야와친구들, 85694,2020. 8. 6, 1759, 78,,https://www.youtube.com/watch?v=vnQyxaMeWqQ,24시간 ,하루살기 ,가족
1175,MariAndFriends, 215,시험 끝나고 마피아 파자마 파티 했는데 애들이 집에 안가요! ㅋㅋㅋ 유치원생 초등학생 중학생 고등학생 파자마 파티 24시간 가족 일상 챌린지 게임 | 말이야와친구들, 107240,2020. 8. 4, 2109, 103,,https://www.youtube.com/watch?v=rnYJCI211gw,24시간 ,파자마파티 ,마피아게임
1176,MariAndFriends, 215,국민이 24시간! 성향 테스트 했는데 국민이가 펑펑 운 이유? 엄마가 몰랐어 미안해 ㅠ 가족 일상 브이로그 (feat. 허그맘 허그인 놀이평가) | 말이야와친구들, 103530,2020. 8. 1, 1968, 97,,https://www.youtube.com/watch?v=KFBZJQy7ePI,국민이24시간 ,24시간 ,성향테스트
1177,MariAndFriends, 215,국민이가 갑자기 엄마 립스틱 먹었을 때 아빠 반응 보기 몰래카메라! ㅋㅋㅋ 먹는 초콜릿 립스틱 몰카 과연 말이야 토깽이네 속을까? (꿀잼 주의ㅋ) | 말이야와친구들, 317129,2020. 7. 30, 5084, 280,,https://www.youtube.com/watch?v=KfZl2u8oi1k,립스틱몰카 ,국민이 ,토깽이님
1178,MariAndFriends, 215,2분 안에 고른 물건으로 차 안에서 하루살기! 극한 생존 게임 ㅋㅋㅋ 말벤져스 가족 일상 국민이 24시간 챌린지 | 말이야와친구들, 237945,2020. 7. 28, 3422, 266,,https://www.youtube.com/watch?v=INswIYHZaF4,24시간 ,하루살기 ,가족
1179,MariAndFriends, 215,국민24시간! 국민이 동생 아기 돌보기 도전! 과연 잘할지? 먹여주고 재워주고 갈아줬는데 울 엄마를 뺏어!!! (질투 국민 ㅋㅋㅋ) | 말이야와친구들, 156927,2020. 7. 25, 2562, 160,,https://www.youtube.com/watch?v=_rPkOduOuCs,국민24시간 ,국민이 ,말이야와친구들
1180,MariAndFriends, 215,뽑은 색으로만 라면 만들기 ㅋㅋㅋ 이색 라면 대회 대결! 국민이 선택은? 댓글로 투표해 주세요 | 말이야와친구들, 148257,2020. 7. 23, 2077, 180,,https://www.youtube.com/watch?v=X0dIir1LNsE,라면 ,국민이 ,말이야
1181,MariAndFriends, 215,방안에 수영장 미끄럼틀 놀이기구 까지 있다고요?! 이런 펜션은 처음이야! 국민이 그렇게 좋니 with 토깽이네 ㅋㅋㅋ 가족 일상 브이로그 Vlog | 말이야와친구들, 350000,2020. 7. 21, 5430, 290,,https://www.youtube.com/watch?v=ztI3-EatZJw,수영장 ,펜션 ,토깽이네
1182,MariAndFriends, 215,국민이 24시간! 인생 처음 화장실에서 큰일 보기 도전 했어요! 기저귀 떼고 첫 여행 성공할지? 말이야 끼야 가족 일상 브이로그 Family Vlog | 말이야와친구들, 181930,2020. 7. 18, 2745, 156,,https://www.youtube.com/watch?v=dj69B5Xhe00,국민이24시간 ,24시간 ,국민이
1183,MariAndFriends, 215,이건 뭐죠? 거대 벌레 괴생명체? 설마 제일 싫어하는 바퀴벌레? (놀람주의ㅠㅠ) 말이야 집 곤충 채집 버들 하늘소 가족 일상 대소동 | 말이야와친구들, 99696,2020. 7. 16, 1642, 83,,https://www.youtube.com/watch?v=zoFMwn13IUc,곤충 ,거대곤충 ,벌레
