,channel,subs,title,views,date,like,hate,review,urls,hashtag1,hashtag2,hashtag3
61,코이티비KOITV, 96.6,티셔츠를 주문했는데 싸구려 원단으로 눈속임하고 뻔뻔하게 구는 베트남 쇼핑몰 찾아가서 참교육!!, 20205,26분 전 최초 공개, 2237, 40,331,https://www.youtube.com/watch?v=2oNgE1k4-P0,,,
62,코이티비KOITV, 96.6,1년만에 고장난 배터리를 확인해보니 기아차에 베트남 배터리가??, 231543,최초 공개: 2020. 8. 8, 7680, 208,1333,https://www.youtube.com/watch?v=D1dnB1M8iO8,,,
63,코이티비KOITV, 96.6,야밤에 놀이터에서 베트남 여성분이랑 데이트 하다가 딱 걸린 상훈이... 증거사진 빼박인데??, 289299,최초 공개: 2020. 8. 7, 9100, 416,1112,https://www.youtube.com/watch?v=tEISUHX9At8,,,
64,코이티비KOITV, 96.6,베트남 집주인이 월세 올려 결국 미용실 폐업한 쌍둥이형들... 실업자만 최소 280만명 난리난 베트남 상황!, 390094,최초 공개: 2020. 8. 6, 10103, 471,1372,https://www.youtube.com/watch?v=ElLZbaH6dkU,,,
65,코이티비KOITV, 96.6,잔액 없는 카드 주고 배터지게 점심 먹고 오라던 사장색X를 찾습니다. 복수는 복수를 낳는다. (사장 vs 직원), 343699,최초 공개: 2020. 8. 5, 14433, 321,1645,https://www.youtube.com/watch?v=yOefiAcOpP8,,,
66,코이티비KOITV, 96.6,땡땡이 친 직원들에게 잔액 없는 카드를 줬습니다. 이런게 바로 참교육!!, 300246,최초 공개: 2020. 8. 4, 11934, 345,1070,https://www.youtube.com/watch?v=d5RjyZaf-t4,참교육 ,복수 ,역관광
67,코이티비KOITV, 96.6,코대표가 출장간 사이 땡땡이 치고 놀러간 직원X들을 검거했습니다. 선동한 주동자 참교육!!, 366809,최초 공개: 2020. 8. 3, 13133, 369,1279,https://www.youtube.com/watch?v=D_Vit78J_88,참교육 ,땡땡이,
68,코이티비KOITV, 96.6,베트남 동생에게 여자 소개 시켜달라고 했는데 우유의 예상치 못한 반응ㅋㅋㅋㅋ, 406112,최초 공개: 2020. 8. 2, 10244, 357,580,https://www.youtube.com/watch?v=YZnzJ4dpMpY,,,
69,코이티비KOITV, 96.6,잡아서 바로 경매하는 베트남 새벽 어시장 풍경... 실제 모습을 생생하게 보여드립니다, 218283,최초 공개: 2020. 8. 1, 7541, 309,416,https://www.youtube.com/watch?v=8mBhs9jdH-A,,,
70,코이티비KOITV, 96.6,코대표가 출장간다고 며칠 회사를 비웠더니?? 당장 저 새X 잡으러 갑니다..., 388574,최초 공개: 2020. 7. 31, 14802, 300,1671,https://www.youtube.com/watch?v=N9aCC0EIksI,,,
71,코이티비KOITV, 96.6,베트남 시골 새로운 우리집을 공개합니다, 354820,최초 공개: 2020. 7. 30, 9881, 429,742,https://www.youtube.com/watch?v=8eviI_vdplY,,,
72,코이티비KOITV, 96.6,베트남 해변에서 인생 첫 치명적인 비키니 화보 도전!! 근데 왜 자꾸 웃음이ㅋㅋㅋㅋㅋ, 364193,최초 공개: 2020. 7. 29, 10565, 408,961,https://www.youtube.com/watch?v=Eu48tHRGItQ,,,
73,코이티비KOITV, 96.6,5명이서 처음으로 베트남 바다로 힐링 여행을 떠났습니다! 생각지도 못한 리조트 클라스에 다들 입이 쩍..., 246744,최초 공개: 2020. 7. 28, 8543, 364,736,https://www.youtube.com/watch?v=2VsqE24XsCk,,,
74,코이티비KOITV, 96.6,베트남에서 현대 싼타페를 사러 갔다가 현타 온 이유... 할부 이자가 소형차 가격??, 265040,최초 공개: 2020. 7. 27, 7267, 321,1025,https://www.youtube.com/watch?v=cpPu3gQlFzc,,,
75,코이티비KOITV, 96.6,새집이라고 뻥치면서 비싸게 임대주려고 하는 베트남 집주인에게 바로 팩폭!! 배짱 장사하는 집주인들과의 전쟁..., 301013,최초 공개: 2020. 7. 26, 8082, 277,546,https://www.youtube.com/watch?v=MpbYwMG0Pss,,,
76,코이티비KOITV, 96.6,베트남 동생들의 첫 보컬 트레이닝 도중 선생님의 표정이 점점ㅋㅋㅋㅋㅋㅋ 시작부터 난관에 부딪힌 우유와 유미!!, 128604,최초 공개: 2020. 7. 26, 4948, 236,851,https://www.youtube.com/watch?v=k2o2Ezm6CsQ,,,
77,코이티비KOITV, 96.6,베트남 동생이 노래 부르는거 듣다가 고막에서 피가ㅋㅋㅋㅋ 과연 음치를 가수로 만들 수 있을까? 무모한도전 1탄!, 178557,최초 공개: 2020. 7. 25, 6652, 222,794,https://www.youtube.com/watch?v=0m_zEBbPH2Y,,,
78,코이티비KOITV, 96.6,베트남 동생에게 잘생긴 가수를 소개시켜줬는데.. 바로 사랑에 빠진 유미?! 둘이 눈빛교환 뭐야??, 343004,최초 공개: 2020. 7. 24, 10550, 375,,https://www.youtube.com/watch?v=cosTl1GY00w,,,
79,코이티비KOITV, 96.6,비오는 야밤에 라이브 방송~, 77804,실시간 스트리밍 시작일: 2020. 7. 23, 2774, 141,67,https://www.youtube.com/watch?v=l0M3Apa-1H0,,,
