,channel,month_revenue,video_revenue
0,Samsung,59657223.0,21779552.0
1,ITSub잇섭,39932956.0,20409362.0
2,사물궁이 잡학지식,14223007.0,7269561.0
3,Roylab Stats,48068865.0,7465919.0
4,1분과학,1964659.0,6077387.0
5,공돌이 용달,11617488.0,6785139.0
6,눈쟁이,10613041.0,5423580.0
7,UNDERkg,8515679.0,4352242.0
8,TAU,11776084.0,4733090.0
9,MR엠알,4645700.0,2713408.0
10,LG Mobile Global,68424283.0,4325270.0
11,JM,12579857.0,6429106.0
12,신인균의 군사TV,48041893.0,17538436.0
13,SK하이닉스 [SK hynix],31473379.0,3140649.0
14,YTN SCIENCE,20796684.0,7592149.0
15,과학드림 [Science Dream],9122015.0,5327559.0
16,테크몽 Techmong,11367185.0,5809823.0
17,안될과학 Unrealscience,1844902.0,1076732.0
18,에스오디 SOD,7635305.0,4459052.0
19,가전주부 GJJB,1237487.0,721777.0
20,공구왕황부장,6235984.0,3187041.0
21,오라잇 스튜디오 - Digital Shopping Guide,2877400.0,1679832.0
22,Apple 대한민국,523262.0,2405925.0
23,삼성전자 뉴스룸 [Samsung Newsroom],23661137.0,12093278.0
24,도레,2017524.0,1178148.0
25,신박과학,11773927.0,6016970.0
26,디에디트 THE EDIT,563181.0,286985.0
27,유용원TV,17734794.0,6474419.0
28,All Urdu Tips,822114.0,299931.0
29,양컴,486579.0,283748.0
30,딴트공말방구 실험실,756302.0,386243.0
31,정선근 TV,2896820.0,1795273.0
32,떠먹여주는과학,133782.0,265407.0
33,체험판의컴퓨터채널Trialversion,1767222.0,645176.0
34,더기어 THEGEAR,58260.0,265407.0
35,생활코딩,3191357.0,1574101.0
36,[하말넘많] heavytalker,2456633.0,1433845.0
37,방구석 리뷰룸,2686436.0,1372348.0
38,뻘짓연구소,5287640.0,2701541.0
39,최마태의 POST IT,1089679.0,555628.0
40,DRGN LAKE STUDIO,523262.0,1450028.0
41,LG Global,6240300.0,2277537.0
42,사막여우,582601.0,1397163.0
43,TSP NEWS [과학기술],483343.0,1352928.0
44,DRX,10069280.0,3675778.0
45,Thomas Kim,873901.0,1291431.0
46,Producer dk,2622782.0,1339981.0
47,PlayersCUT,133782.0,1238566.0
48,간단한 아이디어 — SIMPLE IDEAS,358191.0,265407.0
49,코딩하는거니,852323.0,497368.0
50,기즈모 gizmo,1775853.0,906268.0
51,푸른상어,6890870.0,4024260.0
52,Kevin's Military Channel : KKMD !,5909081.0,3451369.0
53,서울리안,698042.0,356034.0
54,주연 ZUYONI,5489392.0,2805114.0
55,:3ildcat,5829243.0,2978815.0
56,북툰,2038023.0,1105862.0
57,기리보이월드,350639.0,1070259.0
58,Dmonk,718541.0,418609.0
59,맥가이버,2620624.0,1146860.0
60,더로그 The Log,1328114.0,1026024.0
61,꺼리튜브,19592642.0,7153041.0
62,"닥터조홍근의 알기쉬운 당뇨,심장병 이야기",1380979.0,704515.0
63,Zeezle,1043287.0,981790.0
64,DC튜브,937555.0,546997.0
65,카오스 사이언스,3705987.0,1622651.0
66,IT's okay 잇츠 오케이,1546049.0,789747.0
67,공여사들,349560.0,265407.0
68,닥터쓰리 - 한미일의사의 쉬운 의학,1771537.0,1034656.0
69,SM TV [SeoMin TV],14992255.0,910583.0
70,Gadget Seoul,709910.0,910583.0
71,그래나도 SF,1700331.0,744434.0
72,헬스조선 Health Chosun,2013209.0,734724.0
73,김도헌 대림대교수,876059.0,447739.0
74,다칸,1396084.0,773564.0
75,라이브렉스 LiveREX,1549286.0,790826.0
76,씨디맨,904110.0,460686.0
77,뀨엣Tech,3881846.0,2266748.0
78,A.T.E.에이트,941871.0,704515.0
79,Infinity SAV,338771.0,705594.0
80,TongTongTv 통통테크,911662.0,465002.0
81,이큐채널,917057.0,334456.0
82,조군의 낭만공장 컴퓨터,696963.0,304247.0
83,B-NOTE 비노트 cause I am,4988787.0,2549417.0
84,개발자 라라,776801.0,453134.0
85,엔지니어TV,2269985.0,1159807.0
86,전투정보실,494132.0,288064.0
87,채리튜브,17369050.0,6340637.0
88,알리인사이드 Ali Inside,948344.0,610652.0
89,이퓨,1395005.0,712067.0
90,ITSystem,578285.0,336614.0
91,Tom J. Light,0.0,581522.0
92,증권돌이TV,5090203.0,1857849.0
93,석군 seokkun,133782.0,558865.0
94,괴짜TV,237356.0,550234.0
