,channel,subs,title,views,date,like,hate,review,urls,hashtag1,hashtag2,hashtag3
1,BLACKPINK, 4330,BLACKPINK - ‘뚜두뚜두 (DDU-DU DDU-DU)’ M/V, 1255575542,2018. 6. 15, 14011037, 806439,2267833,https://www.youtube.com/watch?v=IHNzOHi8sJs,BLACKPINK ,블랙핑크 ,THE1STMINIALBUM
2,BLACKPINK, 4330,BLACKPINK - 'Kill This Love' M/V, 951216804,최초 공개: 2019. 4. 5, 14655925, 922008,1860801,https://www.youtube.com/watch?v=2S24-y0Ij3Y,BLACKPINK ,블랙핑크 ,KILLTHISLOVE
3,BLACKPINK, 4330,BLACKPINK - '붐바야'(BOOMBAYAH) M/V, 927169035,2016. 8. 8, 8631238, 419983,634177,https://www.youtube.com/watch?v=bwmSjveL3Lc,BLACKPINK ,붐바야 ,BOOMBAYAH
4,BLACKPINK, 4330,BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V, 839639857,2017. 6. 22, 7608517, 324818,849945,https://www.youtube.com/watch?v=Amq-qlqbjYA,BLACKPINK ,블랙핑크 ,마지막처럼
5,BLACKPINK, 4330,BLACKPINK - '불장난 (PLAYING WITH FIRE)' M/V, 537937335,2016. 11. 1, 4848158, 169822,285970,https://www.youtube.com/watch?v=9pdj4iJD08s,BLACKPINK ,SQUARETWO ,불장난
6,BLACKPINK, 4330,BLACKPINK - '휘파람'(WHISTLE) M/V, 527561230,2016. 8. 8, 5243314, 197178,262896,https://www.youtube.com/watch?v=dISNgvVpWlo,BLACKPINK ,휘파람 ,WHISTLE
7,BLACKPINK, 4330,BLACKPINK - 'How You Like That' 0712 SBS Inkigayo : NO.1 OF THE WEEK, 8088087,2020. 7. 12, 756858, 8429,40535,https://www.youtube.com/watch?v=04lxLDmFaOE,BLACKPINK ,블랙핑크 ,HowYouLikeThat
8,BLACKPINK, 4330,BLACKPINK - '24/365 with BLACKPINK' EP.2, 7174324,2020. 7. 11, 792841, 5548,34223,https://www.youtube.com/watch?v=U_RL_wbowhw,BLACKPINK ,블랙핑크 ,24_365_WITH_BLACKPINK
9,BLACKPINK, 4330,BLACKPINK - 'How You Like That' DANCE PERFORMANCE VIDEO, 154230039,2020. 7. 6, 5043091, 136561,241743,https://www.youtube.com/watch?v=32si5cfrCNc,BLACKPINK ,블랙핑크 ,HowYouLikeThat
10,BLACKPINK, 4330,BLACKPINK - 'How You Like That' 0705 SBS Inkigayo, 9636016,2020. 7. 5, 852811, 10272,37627,https://www.youtube.com/watch?v=JLOwA3o6Zr0,BLACKPINK ,블랙핑크 ,HowYouLikeThat
11,BLACKPINK, 4330,BLACKPINK - '24/365 with BLACKPINK' EP.1, 8390118,2020. 7. 4, 961780, 6152,40498,https://www.youtube.com/watch?v=1viIqwCiEr8,BLACKPINK ,블랙핑크 ,24_365_WITH_BLACKPINK
12,Big Hit Labels, 3960,GFRIEND (여자친구) 'Apple' Official M/V (Choreography ver.), 1599724,2020. 7. 18, 191111, 7445,7078,https://www.youtube.com/watch?v=BmTZ39P9vEc,여자친구 ,GFRIEND ,回_Song_of_the_Sirens
13,Big Hit Labels, 3960,GFRIEND Showcase '回:Song of the Sirens', 1114526,실시간 스트리밍 시작일: 2020. 7. 13, 113784, 4060,2232,https://www.youtube.com/watch?v=zSNChjBzRWw,여자친구 ,GFRIEND ,回_Song_of_the_Sirens
14,Big Hit Labels, 3960,GFRIEND (여자친구) 'Apple' Official M/V, 20965643,2020. 7. 13, 863491, 36941,258370,https://www.youtube.com/watch?v=XQSse3b2ge4,여자친구 ,GFRIEND ,回_Song_of_the_Sirens
15,Big Hit Labels, 3960,GFRIEND (여자친구) 'Apple' Official M/V Teaser 2, 2288275,2020. 7. 12, 259389, 6277,36362,https://www.youtube.com/watch?v=JUOFGrscUKs,여자친구 ,GFRIEND ,回_Song_of_the_Sirens
16,Big Hit Labels, 3960,GFRIEND (여자친구) 'Apple' Official M/V Teaser 1, 2409428,2020. 7. 10, 292492, 7399,40306,https://www.youtube.com/watch?v=pIjC8a_9N8E,여자친구 ,GFRIEND ,回_Song_of_the_Sirens
17,Big Hit Labels, 3960,GFRIEND (여자친구) '回:Song of the Sirens' Highlight Medley, 1952644,2020. 7. 8, 225912, 6516,27973,https://www.youtube.com/watch?v=dDy7_aQOeXQ,여자친구 ,GFRIEND ,回_Song_of_the_Sirens
18,Big Hit Labels, 3960,SEVENTEEN (세븐틴) 'Left & Right' Official MV (Choreography Version), 5639396,2020. 6. 30, 553943, 4116,16792,https://www.youtube.com/watch?v=5MUtmsNDL9g,SEVENTEEN ,세븐틴 ,헹가래
